Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors,analysis_uses_genai,analysis_genai_intensity,analysis_models_mentioned,analysis_build_patterns,analysis_market_type,analysis_vertical,analysis_sub_vertical,analysis_target_market,analysis_unique_findings,analysis_newsletter_potential,analysis_technical_depth,analysis_confidence_score,analysis_content_analyzed_chars,analysis_timestamp,analysis_competitors,analysis_differentiation,analysis_secret_sauce,analysis_competitive_moat
Series A - Blockbrain,https://www.crunchbase.com/funding_round/blockbrain-series-a--f3c657ce,Series A,17500000,EUR,20780319,2026-02-12,Early Stage Venture,"Blockbrain is a technology company that provides an AI platform and tools to help developers build, deploy, and manage applications.",https://blockbrain.ai,4,"Artificial Intelligence (AI), Business Process Automation (BPA), Chatbot, Knowledge Management, SaaS","Stuttgart, Baden-Wurttemberg, Germany, Europe","13books Capital, Alstin Capital",,,,,,,,,,,,,,,,,,
Seed Round - ThirdAI Automation,https://www.crunchbase.com/funding_round/thirdai-automation-seed--457a54e9,Seed,3000000,USD,3000000,2026-02-11,Seed,ThirdAI Automation is an industrial AI firm specializing in developing an agentic framework for root cause analysis and knowledge mining.,https://www.thirdaiautomation.com,1,"Artificial Intelligence (AI), SaaS, Software","San Francisco, California, United States, North America","Capria Ventures, Endiya Partners",,,,,,,,,,,,,,,,,,
Pre Seed Round - Potpie AI,https://www.crunchbase.com/funding_round/momenta-softwares-pre-seed--de197450,Pre-Seed,2200000,USD,2200000,2026-02-23,Seed,Potpie AI creates task-oriented custom agents designed to work with specific codebases.,https://potpie.ai,2,"Artificial Intelligence (AI), Developer Tools, Embedded Software, Enterprise Applications, Generative AI, Software","Granite Bay, California, United States, North America",Emergent Ventures,,,,,,,,,,,,,,,,,,
Seed Round - Simple AI,https://www.crunchbase.com/funding_round/simple-ai-9d81-seed--7d8ec9c4,Seed,14000000,USD,14000000,2026-02-10,Seed,Simple AI is a software development firm that made an AI Assistant.,https://www.usesimple.ai,2,"Artificial Intelligence (AI), Software, Virtual Assistant","San Francisco, California, United States, North America",First Harmonic,,,,,,,,,,,,,,,,,,
Seed Round - Opinion Labs,https://www.crunchbase.com/funding_round/opinion-labs-seed--c1d3289c,Seed,20000000,USD,20000000,2026-02-05,Seed,"Opinion Labs is a decentralized platform where users create, trade, and resolve prediction and opinion markets.",https://opinionlabs.xyz,3,"Market Research, Prediction Markets, Predictive Analytics, Trading Platform","Hong Kong, Hong Kong Island, Hong Kong, Asia",,,,,,,,,,,,,,,,,,,
Venture Round - Cadastral,https://www.crunchbase.com/funding_round/cadastral-series-unknown--296c0bdd,Venture - Series Unknown,9500000,USD,9500000,2026-02-05,,Cadastral is an AI-native software firm that develops vertically tailored intelligence for the commercial real estate industry.,https://cadastral.ai/,1,"Artificial Intelligence (AI), Real Estate, Software","New York, New York, United States, North America",Navitas Capital,,,,,,,,,,,,,,,,,,
Pre Seed Round - Huper,https://www.crunchbase.com/funding_round/huper-4a66-pre-seed--12b97722,Pre-Seed,1500000,USD,1500000,2026-02-27,Seed,Huper is a platform that focuses on AI tools for leadership and management at large.,https://www.huperlabs.ai,1,"Artificial Intelligence (AI), Internet","Atlanta, Georgia, United States, North America",Nadia Partners,,,,,,,,,,,,,,,,,,
Seed Round - Odynn,https://www.crunchbase.com/funding_round/card-curator-seed--d7eecab4,Seed,5100000,USD,5100000,2026-02-19,Seed,"Embedded Loyalty, Fintech, Next-Gen Program Manager, AI/ML",https://www.odynn.com/,4,"Analytics, Apps, Artificial Intelligence (AI), Finance, Financial Services, Loyalty Programs, Mobile Apps, Security, Software","Lakeville, Connecticut, United States, North America","Bonfire Ventures, Fiat Ventures",,,,,,,,,,,,,,,,,,
Seed Round - Comeryx,https://www.crunchbase.com/funding_round/comeryx-seed--016bce52,Seed,7500000,USD,7500000,2026-02-18,Seed,Comeryx is a tailored AI platform that is specially designed for small businesses for a seamless experiences.,https://www.comeryx.com/,1,"AI Infrastructure, Artificial Intelligence (AI), Insurance, Marketing Automation, Wholesale","Denver, Colorado, United States, North America",Altai Ventures,,,,,,,,,,,,,,,,,,
Seed Round - Adaption Labs,https://www.crunchbase.com/funding_round/adaption-labs-seed--1a57c08f,Seed,50000000,USD,50000000,2026-02-04,Seed,Adaptation creates AI systems that adjust to changing real-world circumstances.,https://www.adaptionlabs.ai/,1,"Artificial Intelligence (AI), Information Technology, Internet","San Francisco, California, United States, North America",Emergence Capital,,,,,,,,,,,,,,,,,,
Series A - 7Rivers,https://www.crunchbase.com/funding_round/7rivers-series-a--2e406181,Series A,5000000,USD,5000000,2026-02-23,Early Stage Venture,"7Rivers is a technology consulting company that helps organizations modernize their infrastructure, cloud analytics, and build applications.",https://7riversinc.com,4,"Artificial Intelligence (AI), Cloud Data Services, Data Integration, Generative AI, Information Technology","Milwaukee, Wisconsin, United States, North America",Inoca Capital,,,,,,,,,,,,,,,,,,
Series A - Complyance,https://www.crunchbase.com/funding_round/complyance-0c7c-series-a--60a728d9,Series A,20000000,USD,20000000,2026-02-11,Early Stage Venture,"Complyance is an AI-native software company that offers risk management, compliance automation, and control monitoring solutions.",https://www.complyance.com,1,"Artificial Intelligence (AI), Risk Management, Software","New York, New York, United States, North America",Google Ventures,,,,,,,,,,,,,,,,,,
Seed Round - JetScale AI,https://www.crunchbase.com/funding_round/jetscale-ai-seed--04c7c5e1,Seed,5400000,USD,5400000,2026-02-26,Seed,JetScale AI is a Montreal-based startup specializing in AI-driven cloud infrastructure optimization.,https://www.jetscale.ai/,1,"Artificial Intelligence (AI), Information Technology","Montréal, Quebec, Canada, North America","BDC Venture Capital, Diagram Ventures",,,,,,,,,,,,,,,,,,
Series A - Hubbl Technologies,https://www.crunchbase.com/funding_round/hubbl-technologies-series-a--56517e70,Series A,6000000,USD,6000000,2026-02-11,Early Stage Venture,Hubbl technologies is a CA-based provider of an AI-driven platform designed to optimize business systems.,https://www.hubbl.com/,1,"Artificial Intelligence (AI), Information Technology, Software","Vancouver, Alberta, Canada, North America",Salesforce Ventures,,,,,,,,,,,,,,,,,,
Series A - Biorce,https://www.crunchbase.com/funding_round/biorce-series-a--cd4488c6,Series A,43800000,EUR,51987082,2026-02-02,Early Stage Venture,Biorce is a medtech startup that develops a clinical AI assistant to enhance clinical trials for both speed and cost efficiency.,https://www.biorce.com,4,"Artificial Intelligence (AI), Biotechnology, Clinical Trials, Medical","Barcelona, Catalonia, Spain, Europe",DST Global,,,,,,,,,,,,,,,,,,
Pre Seed Round - Kash,https://www.crunchbase.com/funding_round/kash-a94d-pre-seed--a9ec3582,Pre-Seed,2000000,USD,2000000,2026-02-24,Seed,"Kash is a decentralized, AI-powered prediction market on social media where users trade on real-world events in real time.",https://kash.bot/,1,"Apps, Artificial Intelligence (AI), Mobile Apps","New York, New York, United States, North America","Big Brain Holdings, The Spartan Group",,,,,,,,,,,,,,,,,,
Seed Round - Companion Labs,https://www.crunchbase.com/funding_round/companion-labs-seed--7cfbbef7,Seed,2500000,USD,2500000,2026-02-17,Seed,Companion is a technology startup focused on Bringing Companionship to a Billion Indians.It operates in the technology and internet sector.,https://cmpntech.com,1,"Artificial Intelligence (AI), Digital Entertainment, Information Technology, Internet, Media and Entertainment","Pune, Maharashtra, India, Asia",Peak XV Partners,,,,,,,,,,,,,,,,,,
Series A - Capalo AI,https://www.crunchbase.com/funding_round/capalo-ai-series-a--4f55fe8d,Series A,11000000,EUR,12968502,2026-02-06,Early Stage Venture,Capalo AI is a developer of an AI-optimized bidding platform that helps energy asset owners maximize their revenue in battery storage.,https://capaloai.com,3,"Artificial Intelligence (AI), Battery, Energy Storage","Kuopio, Eastern Finland, Finland, Europe",Heartcore Capital,,,,,,,,,,,,,,,,,,
Seed Round - Overmind,https://www.crunchbase.com/funding_round/overmind-f838-seed--b3f948f3,Seed,2000000,GBP,2733835,2026-02-11,Seed,Overmind is an AI platform that automates workflows by creating a unified AI brain from all company data and tools.,https://overmindlab.ai/,2,"Artificial Intelligence (AI), Software, Web Development","London, England, United Kingdom, Europe",Osney Capital,,,,,,,,,,,,,,,,,,
Seed Round - Breaker,https://www.crunchbase.com/funding_round/breaker-industries-seed--0df904b4,Seed,9000000,AUD,6356830,2026-02-17,Seed,Breaker develops cutting-edge software that transforms the interaction between humans and machines.,https://breakerindustries.com/,4,"Artificial Intelligence (AI), Robotics, Software","Austin, Texas, United States, North America",Bessemer Venture Partners,,,,,,,,,,,,,,,,,,
Series A - Tytan Technologies,https://www.crunchbase.com/funding_round/tytan-technologies-series-a--9f1ab0e7,Series A,30000000,EUR,35363638,2026-02-24,Early Stage Venture,Advanced AI defense systems designed to protect people and critical infrastructure,https://www.tytan-technologies.com/,3,"Artificial Intelligence (AI), Security, Software","Munich, Bayern, Germany, Europe","Armira, NATO Innovation Fund",,,,,,,,,,,,,,,,,,
Series A - Tamarind Bio,https://www.crunchbase.com/funding_round/tamarind-bio-series-a--0264a8b0,Series A,13600000,USD,13600000,2026-02-24,Early Stage Venture,Tamarind Bio is a software company that help the scientists and researchers using computational tools in biology.,https://www.tamarind.bio/,2,"Artificial Intelligence (AI), Machine Learning, SaaS, Software","San Francisco, California, United States, North America",Dimension Capital,,,,,,,,,,,,,,,,,,
Series B - Lingxin Qiaoshou,https://www.crunchbase.com/funding_round/lingxin-qiaoshou-series-b--39411d65,Series B,1500000000,CNY,217347205,2026-02-12,Early Stage Venture,Lingxin Qiaoshou focuses on the research and development and production of embodied intelligent platforms,https://www.linkerbot.cn/,6,"Intelligent Systems, Robotics","Beijing, Beijing, China, Asia","Daode Investment, Prosperity Investment",,,,,,,,,,,,,,,,,,
Seed Round - Inference Research,https://www.crunchbase.com/funding_round/inference-research-seed--c71f08ee,Seed,20000000,USD,20000000,2026-02-11,Seed,Inference Research is an AI-native quantitative trading firm focused on digital assets and traditional financial markets.,https://www.infr.com,1,"Artificial Intelligence (AI), Asset Management, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Trading Platform","Hong Kong, Hong Kong Island, Hong Kong, Asia",Avenir Group,,,,,,,,,,,,,,,,,,
Venture Round - Luminos.AI,https://www.crunchbase.com/funding_round/luminos-ai-series-unknown--08400c87,Venture - Series Unknown,7756996,USD,7756996,2026-02-24,,Luminos.AI is a consumer engagement technology created to generate leads.,https://www.luminos.ai,1,"Artificial Intelligence (AI), Automotive","Washington, District of Columbia, United States, North America",M13,,,,,,,,,,,,,,,,,,
Pre Seed Round - ZeroDrift,https://www.crunchbase.com/funding_round/zerodrift-pre-seed--4a98c4ec,Pre-Seed,2000000,USD,2000000,2026-02-10,Seed,The AI Compliance Layer for Every Message,https://zerodrift.ai/,1,"Artificial Intelligence (AI), Compliance, Software","New York, New York, United States, North America",a16z speedrun,,,,,,,,,,,,,,,,,,
Seed Round - optoML,https://www.crunchbase.com/funding_round/optoml-seed--7ad52858,Seed,1800000,USD,1800000,2026-02-24,Seed,optoML builds analog-in-memory compute architectures with optical interconnects for AI workloads.,https://opto-ml.com/,1,"Artificial Intelligence (AI), Cloud Computing, Optical Communication","Singapore, Central Region, Singapore, Asia","A99, Bluehill",,,,,,,,,,,,,,,,,,
Series A - Accrual,https://www.crunchbase.com/funding_round/accrual-87d3-series-a--3f8ddb9c,Series A,75000000,USD,75000000,2026-02-05,Early Stage Venture,Accrual is an AI-driven accounting platform that streamlines and unifies tax preparation and financial workflows for accounting firms.,https://www.accrual.com,2,"Artificial Intelligence (AI), Information Technology, SaaS, Software","Beverly Hills, California, United States, North America",General Catalyst,,,,,,,,,,,,,,,,,,
Series B - Contents,https://www.crunchbase.com/funding_round/contentsdotcom-series-b--67523280,Series B,7000000,EUR,8303805,2026-02-16,Early Stage Venture,Contents is a Generative AI company that has developed a SaaS platform to support any business in content creation.,https://www.contents.com/,8,"Artificial Intelligence (AI), Content, Generative AI, Information Technology, SaaS, Software","Milan, Lombardia, Italy, Europe",Qatar Development Bank,,,,,,,,,,,,,,,,,,
Seed Round - Autosana,https://www.crunchbase.com/funding_round/autosana-seed--7b12d93e,Seed,3200000,USD,3200000,2026-02-17,Seed,Autosana offers an AI-powered mobile app quality assurance platform that automates end-to-end testing using natural language instructions.,https://autosana.ai,2,"Artificial Intelligence (AI), Developer Tools, Software","San Francisco, California, United States, North America",,,,,,,,,,,,,,,,,,,
Seed Round - Navikenz,https://www.crunchbase.com/funding_round/navikenz-seed--7c4a2686,Seed,7500000,USD,7500000,2026-02-17,Seed,"Navikenz leverages AI technology to help enterprises speed up their transition to data-centric, organizations in the new digital future.",https://www.navikenz.com,3,"Artificial Intelligence (AI), Information Technology, Machine Learning","Princeton, New Jersey, United States, North America","P R Chandrasekar, Sudip Nandy",,,,,,,,,,,,,,,,,,
Seed Round - Otamiser,https://www.crunchbase.com/funding_round/otamiser-seed--75b59fba,Seed,2000000,USD,2000000,2026-02-17,Seed,Otamiser uses AI driven OTA ranking algorithm to provide a hotel revenue management platform for it's clients.,https://www.otamiser.com/,2,"Artificial Intelligence (AI), Information Technology, Software","Gent, Oost-Vlaanderen, Belgium, Europe",Pitchdrive,,,,,,,,,,,,,,,,,,
Seed Round - Airrived,https://www.crunchbase.com/funding_round/airrived-seed--8fb8077b,Seed,6100000,USD,6100000,2026-02-03,Seed,"Airrived is an enterprise-grade, agentic AI platform tailored specifically for cybersecurity applications.",https://airrived.ai,1,Agentic AI,"Dublin, California, United States, North America",Cannage Capital,,,,,,,,,,,,,,,,,,
Venture Round - Pharmacelera,https://www.crunchbase.com/funding_round/pharmacelera-series-unknown--96f1e87a,Venture - Series Unknown,6000000,EUR,7105923,2026-02-18,,Quantum-Mechanics (QM) and Machine Learning (ML) Drug Discovery,https://www.pharmacelera.com,5,"Biotechnology, Information Technology, Life Science, Machine Learning, Pharmaceutical, Software","Barcelona, Catalonia, Spain, Europe",HERAN Partners,,,,,,,,,,,,,,,,,,
Seed Round - Inhouse,https://www.crunchbase.com/funding_round/inhouse-8dec-seed--94996ae0,Seed,5000000,USD,5000000,2026-02-25,Seed,"Inhouse AI provides a legal technology platform that generates and reviews contracts, agreements, and legal documents for business use.",https://www.inhouse.ai,1,"Artificial Intelligence (AI), Information Technology, Legal Tech","Santa Monica, California, United States, North America",Run Ventures,,,,,,,,,,,,,,,,,,
Seed Round - Six Sense Mobility,https://www.crunchbase.com/funding_round/six-sense-mobility-seed--dfde66b9,Seed,440000000,INR,4850004,2026-02-13,Seed,Six Sense Mobility designs and delivers intelligent automotive electronic systems for connected vehicles and fleet operations.,https://www.sixsensemobility.com,2,"Artificial Intelligence (AI), Automotive, Internet of Things","New Delhi, Delhi, India, Asia",Ashish Kacholia,,,,,,,,,,,,,,,,,,
Seed Round - GenFlux,https://www.crunchbase.com/funding_round/genflux-seed--af304a27,Seed,4200000,USD,4200000,2026-02-10,Seed,"GenFlux is an AI quality assessment platform that automatically checks issues that include hallucinations, biases and regulatory compliance.",https://www.genflux.site,1,"Artificial Intelligence (AI), Information Technology",,Symbolic Capital,,,,,,,,,,,,,,,,,,
Series A - Zhiding Robot,https://www.crunchbase.com/funding_round/zhiding-robot-series-a--49cf7da5,Series A,100000000,CNY,14474294,2026-02-23,Early Stage Venture,Zhiding Robotics is an intelligent robot manufacturer and distributor dedicated to integrating AI and robotics.,,2,"Artificial Intelligence (AI), Manufacturing, Robotics","Hangzhou, Zhejiang, China, Asia",,,,,,,,,,,,,,,,,,,
Series B - Taalas,https://www.crunchbase.com/funding_round/taalas-series-b--e8b8d692,Series B,169000000,USD,169000000,2026-02-19,Early Stage Venture,Taalas develops a platform that converts artificial intelligence models into custom silicon implementations.,https://taalas.com,3,"AI Infrastructure, Artificial Intelligence (AI), GPU, Semiconductor","Toronto, Ontario, Canada, North America",,,,,,,,,,,,,,,,,,,
Seed Round - Refute,https://www.crunchbase.com/funding_round/refute-seed--4a000a3d,Seed,5000000,GBP,6845124,2026-02-03,Seed,"Refute is a technology company that builds software designed to detect, analyze, and combat digital misinformation across online platforms.",https://refute.com,3,"Artificial Intelligence (AI), Information Services, Information Technology, Social Media Management","London, England, United Kingdom, Europe",Amadeus Capital Partners,,,,,,,,,,,,,,,,,,
Seed Round - NANDO,https://www.crunchbase.com/funding_round/re-learn-seed--13d530a6,Seed,3300000,EUR,3907763,2026-02-17,Seed,We simplify waste management by connecting data to organization. | Waste is more.,https://www.nandoai.com/,9,"Artificial Intelligence (AI), CleanTech, Facilities Support Services, PropTech, SaaS, Waste Management","Turin, Piemonte, Italy, Europe","CDP Venture Capital, Maia Ventures",,,,,,,,,,,,,,,,,,
Venture Round - Archimetis,https://www.crunchbase.com/funding_round/archimetis-series-unknown--92dfe109,Venture - Series Unknown,11500000,USD,11500000,2026-02-11,,"Archimetis provides an AI-powered operational reasoning system for energy, chemical, pharma, and industrial plants.",https://www.archimetis.ai/,1,"Agentic AI, Artificial Intelligence (AI), Chemical, Energy, Enterprise Software, Industrial, Machine Learning, Manufacturing, Pharmaceutical, Predictive Analytics","South San Francisco, Pennsylvania, United States, North America",Inspired Capital,,,,,,,,,,,,,,,,,,
Seed Round - Syndex Bio,https://www.crunchbase.com/funding_round/syndex-bio-seed--594cfb12,Seed,15500000,USD,15500000,2026-02-23,Seed,Syndex Bio is a biotechnology platform offering molecular technologies and AI for the diagnosis and treatment of disease.,https://www.syndex.bio,1,"Artificial Intelligence (AI), Biotechnology, Health Care","Cambridge, Cambridgeshire, United Kingdom, Europe",ARCH Venture Partners,,,,,,,,,,,,,,,,,,
Seed Round - InHouse,https://www.crunchbase.com/funding_round/inhouse-fe4b-seed--4382c366,Seed,5000000,USD,5000000,2026-02-25,Seed,"InHouse provides tools to draft and review legal documents such as contracts, agreements, and letters.",https://www.inhouse.so,2,"Artificial Intelligence (AI), E-Commerce, Information Technology, Legal Tech","Los Angeles, California, United States, North America",,,,,,,,,,,,,,,,,,,
Series A - Lotus AI,https://www.crunchbase.com/funding_round/lotus-health-ai-series-a--a00fbcfe,Series A,35000000,USD,35000000,2026-02-02,Early Stage Venture,Lotus Health AI is transforming consumer health,https://lotus.ai/,2,"Artificial Intelligence (AI), Health Care, Software","San Francisco, California, United States, North America","CRV, Kleiner Perkins",,,,,,,,,,,,,,,,,,
Seed Round - Navigara.com,https://www.crunchbase.com/funding_round/navigara-io-seed--821ee9a5,Seed,2500000,USD,2500000,2026-02-19,Seed,"Measure Dev Performance with AI. Trusted by CTOs, Understood by CEOs.",https://www.navigara.com,2,"Analytics, Artificial Intelligence (AI), Information Technology","Prague, Hlavni mesto Praha, Czech Republic, Europe",Inovo.vc,,,,,,,,,,,,,,,,,,
Series A - Graici,https://www.crunchbase.com/funding_round/graici-series-a--792f0fbe,Series A,7500000,USD,7500000,2026-02-03,Early Stage Venture,"Developer of a solution-focused AI intended to serve health, education and social sectors.",https://graici.com/,4,"Artificial Intelligence (AI), Health Care, Information Services","Chagrin Falls, Ohio, United States, North America",Sante Ventures,,,,,,,,,,,,,,,,,,
Seed Round - sable bio,https://www.crunchbase.com/funding_round/sable-bio-seed--44d795b9,Seed,3750000,USD,3750000,2026-02-11,Seed,Sable Bio employs artificial intelligence to analyze large amounts of biomedical data in order to test possible drugs for toxicity.,https://sablebio.com,2,"Artificial Intelligence (AI), Biotechnology, Public Safety","London, England, United Kingdom, Europe",MMC Ventures,,,,,,,,,,,,,,,,,,
Pre Seed Round - Polaron,https://www.crunchbase.com/funding_round/polaron-c3a7-pre-seed--1079199a,Pre-Seed,8000000,USD,8000000,2026-02-03,Seed,Polaron is a startup specializing in AI-driven materials design.,https://www.polaron.ai,1,"Advanced Materials, Artificial Intelligence (AI), Information Technology, Machine Learning","Thame, Oxfordshire, United Kingdom, Europe",Racine2,,,,,,,,,,,,,,,,,,
Seed Round - Hybridity,https://www.crunchbase.com/funding_round/hybridity-seed--5cf01f0c,Seed,22000000,SEK,2457332,2026-02-17,Seed,"Hybridity specializes in a ""Compliance Operating System"" that integrates generative AI with legal engineering to simplify complex rules.",https://hybridity.ai/,2,"Generative AI, Operating Systems, SaaS","Stockholm, Stockholms Lan, Sweden, Europe",,,,,,,,,,,,,,,,,,,
Series A - Taiv,https://www.crunchbase.com/funding_round/taiv-series-a--36b7a0ff,Series A,13000000,USD,13000000,2026-02-10,Early Stage Venture,Taiv is an advertising technology company that provides AI-driven media solutions to manage and monetize television screens in venues.,https://www.taiv.tv,13,"Advertising, Advertising Platforms, Artificial Intelligence (AI), Digital Marketing, Digital Signage","Winnipeg, Manitoba, Canada, North America","Emerging Ventures, IDC Ventures",,,,,,,,,,,,,,,,,,
Seed Round - Trace,https://www.crunchbase.com/funding_round/trace-3440-seed--61e209c2,Seed,3000000,USD,3000000,2026-02-26,Seed,Trace is an AI based Software Development firm offering SaaS workflow platform for their users.,https://www.trace.so/,2,"Artificial Intelligence (AI), B2B, Electronic Design Automation (EDA), SaaS, Software","San Francisco, California, United States, North America",,,,,,,,,,,,,,,,,,,
Seed Round - Heywa Labs,https://www.crunchbase.com/funding_round/heywa-labs-seed--de6a464c,Seed,3700000,GBP,5044425,2026-02-12,Seed,"Heywa Labs focuses on Generative UX (GenUX),an AI system that creates visual, and interactive user experiences instead of traditional search",https://heywalabs.com,1,"Generative AI, Information Technology, Internet, UX Design","London, England, United Kingdom, Europe",Cherry Ventures,,,,,,,,,,,,,,,,,,
Seed Round - Flock AI,https://www.crunchbase.com/funding_round/flock-ai-seed--eb99705b,Seed,6000000,USD,6000000,2026-02-05,Seed,"Flock AI provides an AI platform for brands to create custom, on-model images and visuals for beauty and apparel businesses.",https://www.flockshop.ai,1,"Artificial Intelligence (AI), Information Technology, Software","New City, New York, United States, North America",Work-Bench,,,,,,,,,,,,,,,,,,
Seed Round - Contented AI,https://www.crunchbase.com/funding_round/contented-ai-seed--ffa9d718,Seed,4100000,USD,4100000,2026-02-09,Seed,"Contented AI offers AI-driven tools that help businesses generate, optimize, and manage written content for digital marketing.",https://www.contentedai.com,3,"Artificial Intelligence (AI), Content, Mobile Apps, Software","Christchurch, Canterbury, New Zealand, Oceania",Altered Capital,,,,,,,,,,,,,,,,,,
Pre Seed Round - Patientdesk.ai,https://www.crunchbase.com/funding_round/patientdesk-ai-pre-seed--db2ecb77,Pre-Seed,1000000,USD,1000000,2026-02-19,Seed,"Patientdesk.ai is an AI-powered front desk platform aimed largely at dental clinics, automating patient interactions.",https://www.patientdesk.ai,1,"Artificial Intelligence (AI), Dental",,"e2vc, Y Combinator",,,,,,,,,,,,,,,,,,
Seed Round - Shizuku AI,https://www.crunchbase.com/funding_round/shizuku-ai-seed--6764e06e,Seed,15000000,USD,15000000,2026-02-09,Seed,"Shizuku an open-source Android tool that enables apps to access elevated system APIs without rooting your device, typically via ADB setup.",https://shizuku.ai,1,"Artificial Intelligence (AI), Developer Tools, Mobile Devices, Productivity Tools","California, Pennsylvania, United States, North America",Andreessen Horowitz,,,,,,,,,,,,,,,,,,
Pre Seed Round - Marquee,https://www.crunchbase.com/funding_round/marquee-ffcf-pre-seed--3b60cca5,Pre-Seed,1200000,USD,1200000,2026-02-16,Seed,"Marquee AI is a Sports tech company that develops advanced AI platforms to analyze recruitment, scouting and performance of the player.",https://www.themarquee.ai/,1,"Artificial Intelligence (AI), Information Technology, Sports","New York, New York, United States, North America",AnD Ventures,,,,,,,,,,,,,,,,,,
Seed Round - Uptool,https://www.crunchbase.com/funding_round/uptool-seed--069f22e3,Seed,6000000,USD,6000000,2026-02-04,Seed,Uptool develops an AI operating system designed to optimize manufacturing operations through intelligent automation.,https://uptool.com/,1,"Artificial Intelligence (AI), Consumer Software, Software","San Mateo, California, United States, North America",Eclipse Ventures,,,,,,,,,,,,,,,,,,
Seed Round - Mozart AI,https://www.crunchbase.com/funding_round/arthos-098f-seed--62439621,Seed,6000000,USD,6000000,2026-02-11,Seed,"Mozart AI is a music technology company that develops an AI-powered digital audio workstation to support musicians, producers, and creators.",https://mozartai.com,2,"Artificial Intelligence (AI), Information Technology, Music, Software","London, England, United Kingdom, Europe",Balderton Capital,,,,,,,,,,,,,,,,,,
Seed Round - YAMASTRO,https://www.crunchbase.com/funding_round/yamastro-seed--bdfca338,Seed,100000000,JPY,641404,2026-02-25,Seed,YAMASTRO focused on revolutionizing manufacturing with AI and software. ​,https://yamastro.jp,1,"Artificial Intelligence (AI), Manufacturing, Software",,Incubate Fund,,,,,,,,,,,,,,,,,,
Pre Seed Round - Qontext,https://www.crunchbase.com/funding_round/qontext-4a60-pre-seed--4aa37b8e,Pre-Seed,2700000,USD,2700000,2026-02-05,Seed,Qontext is an AI platform that acts as a unified context layer for businesses.,https://qontext.ai,1,"Artificial Intelligence (AI), Information Technology, Internet","Berlin, Berlin, Germany, Europe",HV Capital,,,,,,,,,,,,,,,,,,
Seed Round - Straion,https://www.crunchbase.com/funding_round/straion-seed--d76ab632,Seed,1100000,EUR,1300568,2026-02-23,Seed,The Rules Layer for AI Coding Agents,https://straion.com/,1,"Artificial Intelligence (AI), Software","Linz, Oberosterreich, Austria, Europe",Marathon Venture Capital,,,,,,,,,,,,,,,,,,
Seed Round - Pelgo,https://www.crunchbase.com/funding_round/pelgo-seed--fd582d95,Seed,5500000,USD,5500000,2026-02-10,Seed,Pelgo offers an AI-powered career transition agent solution.,https://pelgo.com/,1,"Artificial Intelligence (AI), Career Planning, Human Resources","New York, New York, United States, North America",Flybridge,,,,,,,,,,,,,,,,,,
Series D - Deep Intelligent Pharma,https://www.crunchbase.com/funding_round/deep-intelligent-pharma-series-d--76971f5b,Series D,60000000,USD,60000000,2026-02-02,Late Stage Venture,Deep Intelligent Pharma is a Singapore based AI Clinical Trial Company,https://www.dip-ai.com/,5,"Artificial Intelligence (AI), Biotechnology, Health Care, Pharmaceutical","Singapore, Central Region, Singapore, Asia",,,,,,,,,,,,,,,,,,,
Seed Round - Clearly AI,https://www.crunchbase.com/funding_round/clearly-ai-seed--37996283,Seed,8400000,USD,8400000,2026-02-10,Seed,Clearly AI automates security and privacy reviews,https://www.clearly-ai.com/,3,"Artificial Intelligence (AI), Privacy, Security","Seattle, Washington, United States, North America",Basis Set Ventures,,,,,,,,,,,,,,,,,,
Series A - splose,https://www.crunchbase.com/funding_round/splose-series-a--f0caf6c2,Series A,46000000,AUD,32364691,2026-02-08,Early Stage Venture,splose is AI-powered practice management software that exists to put time back into the hands of allied health professionals.,https://splose.com,6,"Artificial Intelligence (AI), Health Care, Information Technology, Software","Adelaide, South Australia, Australia, Oceania",Spectrum Equity,,,,,,,,,,,,,,,,,,
Pre Seed Round - MARC,https://www.crunchbase.com/funding_round/marc-07a5-pre-seed--e72093e1,Pre-Seed,1000000,USD,1000000,2026-02-10,Seed,MARC is an AI startup dedicated to real estate asset management.,https://hello.marcprop.com,1,"Artificial Intelligence (AI), Developer Tools, Real Estate","Dublin, Dublin, Ireland, Europe",,,,,,,,,,,,,,,,,,,
Pre Seed Round - Berget AI,https://www.crunchbase.com/funding_round/berget-ai-pre-seed--8f925b0e,Pre-Seed,2100000,EUR,2488479,2026-02-02,Seed,"Berget AI is an AI platform that focuses on inference and agentic infrastructure, enabling businesses to deploy and expand open-source LLMs.",https://berget.ai,1,"Artificial Intelligence (AI), Data Center, Infrastructure","Stockholm, Stockholms Lan, Sweden, Europe",Luminar Ventures,,,,,,,,,,,,,,,,,,
Seed Round - Fluency,https://www.crunchbase.com/funding_round/fluency-89b1-seed--70adddc7,Seed,6000000,USD,6000000,2026-02-09,Seed,"Developer of an AI-powered SaaS platform for automatically generated documentation, task intelligence, and executive insights.",https://usefluency.com/,3,"Artificial Intelligence (AI), SaaS","Melbourne, Victoria, Australia, Oceania",Accel,,,,,,,,,,,,,,,,,,
