Transaction Name,Transaction Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Organization Description,Organization Website,Number of Funding Rounds,Organization Industries,Organization Location,Lead Investors,analysis_uses_genai,analysis_genai_intensity,analysis_models_mentioned,analysis_build_patterns,analysis_market_type,analysis_sub_vertical,analysis_target_market,analysis_newsletter_potential,analysis_technical_depth,analysis_confidence_score,analysis_competitors,analysis_competitive_moat
Seed Round - Feijiecos,https://www.crunchbase.com/funding_round/fibretronics-seed--91e64191,Seed,100000000,CNY,14361007,2026-01-23,Seed,Feijiecos is a smart technology supplier that specializes in smart technology and offers intelligent solutions.,https://fysics.net/,1,"Generative AI, Intelligent Systems","Shanghai, Shanghai, China, Asia","Matrix Partners China, Oriental Fortune Capital",Yes,core,,Vertical Data Moats; Agentic Architectures; RAG (Retrieval-Augmented Generation),horizontal,ERP and digital transformation solutions,b2b,medium,medium,0.8,,
Seed Round - Sandstone,https://www.crunchbase.com/funding_round/sandstone-0a07-seed--f11ee9ee,Seed,10000000,USD,10000000,2026-01-13,Seed,Sandstone is the platform for AI-native legal departments.,https://www.sandstone.com/,1,"Artificial Intelligence (AI), Legal, Software","Cape Town, NA - South Africa, South Africa, Africa",Sequoia Capital,Yes,core,,Agentic Architectures; Continuous-learning Flywheels; Vertical Data Moats; RAG (Retrieval-Augmented Generation); Knowledge Graphs,vertical,"legal tech, AI-enabled contract lifecycle management and legal operations",b2b,high,high,0.95,,
Venture Round - Hadrian,https://www.crunchbase.com/funding_round/hadrian-caa2-series-unknown--f81b26c1,Venture - Series Unknown,131307594,USD,131307594,2026-01-09,,"Hadrian builds AI-powered automated factories that manufacture precision parts for defense, aerospace, and space industries.",https://hadrian.co,7,"Aerospace, Artificial Intelligence (AI), Machinery Manufacturing, Manufacturing, Supply Chain Management","Hawthorne, California, United States, North America",T. Rowe Price,No,none,,Guardrail-as-LLM,vertical,AI-powered precision manufacturing for aerospace and defense,b2b,medium,low,1.0,,
Series A - Cosmos,https://www.crunchbase.com/funding_round/cosmos-7570-series-a--a5f96e68,Series A,15000000,USD,15000000,2026-01-20,Early Stage Venture,Cosmos is a Pinterest alternative for creatives.,https://cosmos.so,3,"Artificial Intelligence (AI), Content, Mobile Apps, Software","New York, New York, United States, North America","Matrix, Shine Capital",No,unclear,,Vertical Data Moats; Continuous-learning Flywheels,horizontal,visual inspiration platforms / creative content discovery,b2c,medium,medium,0.2,,
Seed Round - Legato AI,https://www.crunchbase.com/funding_round/legato-ai-seed--138fb42e,Seed,7000000,USD,7000000,2026-01-20,Seed,Legato AI is the first AI Extensibility Layer designed for B2B SaaS systems.,https://www.legato.ai,1,"Artificial Intelligence (AI), SaaS, Software","Tel Aviv, Tel Aviv, Israel, Asia",S Capital VC,Yes,core,,Natural-Language-to-Code; Agentic Architectures; Vertical Data Moats; Micro-model Meshes; Knowledge Graphs,horizontal,B2B SaaS extensibility and no-code automation,b2b,high,high,0.95,,
Series B - Vista.ai,https://www.crunchbase.com/funding_round/vista-ai-series-b--d622d8dc,Series B,29500000,USD,29500000,2026-01-14,Early Stage Venture,Vista.ai is an artificial intelligence that offers clinicians to conduct MRI studies.,https://vista.ai,2,"Artificial Intelligence (AI), Health Care, Medical Device","Palo Alto, California, United States, North America","Cedars-Sinai Health Ventures, Fox Chase Cancer Center, Intermountain Ventures, Tampa General Hospital, University of Utah Health",No,unclear,,Vertical Data Moats,vertical,"medical imaging AI (MRI automation, clinical decision support)",b2b,high,medium,0.3,,
Seed Round - Open,https://www.crunchbase.com/funding_round/opencopilot-seed--39a68026,Seed,7000000,USD,7000000,2026-01-20,Seed,Open is an AI-powered customer support platform designed to automate support workflows.,https://open.cx,3,"Artificial Intelligence (AI), CRM, Information Technology, Software","Delaware, Ohio, United States, North America","X By Unifonic, Y Combinator",Yes,core,,Agentic Architectures; RAG (Retrieval-Augmented Generation); Continuous-learning Flywheels; Guardrail-as-LLM; Vertical Data Moats,horizontal,AI-powered customer support automation,b2b,high,high,0.95,,
Pre Seed Round - Autonomous Technologies Group,https://www.crunchbase.com/funding_round/autonomous-technologies-group-pre-seed--a3e66205,Pre-Seed,15000000,USD,15000000,2026-01-07,Seed,Autonomous is an AI-powered fintech company that helps users manage investments and financial decisions independently.,https://becomeautonomous.xyz/,1,"Advice, Artificial Intelligence (AI), Finance","New York, New York, United States, North America","BoxGroup, Y Combinator",No,unclear,,,vertical,AI-powered investment management (Robo-advisory),b2c,low,low,0.0,,
Series A - SkyFi®,https://www.crunchbase.com/funding_round/skyfi-87a0-series-a--ed17f74c,Series A,12700000,USD,12700000,2026-01-14,Early Stage Venture,SkyFi® is an earth intelligence platform that provides satellite imagery and analytics to help interpret and analyze planetary data.,https://www.skyfi.com,5,"Aerospace, Apps, Artificial Intelligence (AI), Geospatial, Software","Austin, Texas, United States, North America","Buoyant Ventures, IronGate Capital Advisors",No,none,,Vertical Data Moats; Micro-model Meshes; RAG (Retrieval-Augmented Generation),horizontal,"geospatial analytics and earth observation for infrastructure, energy, agriculture, mining, and logistics",b2b2c,high,high,0.95,,
Seed Round - Sentra,https://www.crunchbase.com/funding_round/sentra-0240-seed--477983a2,Seed,5000000,USD,5000000,2026-01-28,Seed,Sentra is an AI-powered memory system designed for enterprises. It captures company knowledge and data to create alignment across teams.,https://www.sentra.app,1,"Agentic AI, Artificial Intelligence (AI), Business Intelligence, Enterprise Software, Software","San Francisco, California, United States, North America","a16z speedrun, Together Fund",Yes,core,OpenAI,Agentic Architectures; Continuous-learning Flywheels; Vertical Data Moats; Guardrail-as-LLM,horizontal,AI-powered productivity and collaboration,b2b,high,high,0.95,,
Seed Round - Lucend,https://www.crunchbase.com/funding_round/coolgradient-seed--23f2be12,Seed,3300000,USD,3300000,2026-01-26,Seed,Lucend is a roof-to-room AI optimization solution for data centers.,https://getlucend.com/,2,"Artificial Intelligence (AI), Data Center, Internet of Things","Amsterdam, Noord-Holland, The Netherlands, Europe",Remarkable Ventures,No,unclear,,Vertical Data Moats; Continuous-learning Flywheels; Micro-model Meshes; Agentic Architectures,vertical,data center infrastructure optimization,b2b,high,medium,0.4,,
Pre Seed Round - Bricks.sh,https://www.crunchbase.com/funding_round/bricks-sh-pre-seed--acc214fb,Pre-Seed,1600000,EUR,1861281,2026-01-11,Seed,Bricks.sh provides customer service and all business teams with an admin panel they enjoy while putting internal tools on autopilot,https://www.bricks.sh,1,"Artificial Intelligence (AI), Developer Tools, Software","Milano, Lombardia, Italy, Europe",Primo Capital,Yes,enhancement,,Agentic Architectures; Knowledge Graphs; Vertical Data Moats,horizontal,internal tools automation and admin panels for business teams,b2b,high,medium,0.7,,
Series A - Liquidnitro Games,https://www.crunchbase.com/funding_round/liquidnitro-games-series-a--26b2bff9,Series A,19100000,USD,19100000,2026-01-13,Early Stage Venture,Liquidnitro Games is a game development company that creates interactive video games and entertainment experiences for digital platforms.,https://liquidnitro.games,2,"Artificial Intelligence (AI), Gaming, Online Games, Video Games","Hyderabad, Telangana, India, Asia",Northpoint Capital,No,unclear,,,vertical,interactive entertainment / video games,b2c,low,low,0.0,,
Series A - Pace,https://www.crunchbase.com/funding_round/pace-0058-series-a--05f11311,Series A,10000000,USD,10000000,2026-01-27,Early Stage Venture,Pace AI bots execute operations often performed by business process outsourcers by navigating internal systems.,https://withpace.com,1,"Artificial Intelligence (AI), InsurTech, Software","New York, New York, United States, North America",Sequoia Capital,Yes,core,,Agentic Architectures; Vertical Data Moats,vertical,insurance operations automation (InsurTech),b2b,high,medium,0.85,,
Venture Round - Blackbird.AI,https://www.crunchbase.com/funding_round/socialtrendly-inc-series-unknown--ebce90ff,Venture - Series Unknown,28000000,USD,28000000,2026-01-07,,Blackbird.AI develops narrative and risk intelligence tools for detecting emerging dangers and staying ahead of real-world harm.,http://www.blackbird.ai,7,"Artificial Intelligence (AI), Enterprise Software, Intrusion Detection, Machine Learning, Security","Rochester, New York, United States, North America","Dorilton Ventures, Ten Eleven Ventures",,,,,,,,,,,,
Series A - Elyos AI,https://www.crunchbase.com/funding_round/elyos-energy-series-a--68795a5a,Series A,11100000,EUR,12904801,2026-01-19,Early Stage Venture,"Elyos AI provides autonomous AI agents for trades and field services, automating communications, booking, dispatch, and follow-ups.",https://www.elyos.ai,3,"Artificial Intelligence (AI), CRM, Customer Service, Generative AI, Software","London, England, United Kingdom, Europe",Blackbird Ventures,Yes,core,,Agentic Architectures; Vertical Data Moats; Micro-model Meshes; Continuous-learning Flywheels,vertical,"field services automation for trades (e.g., plumbing, electrical, fire & security, property maintenance)",b2b,medium,medium,0.85,,
Series A - Sinpex,https://www.crunchbase.com/funding_round/sinpex-series-a--f4ba9418,Series A,10000000,EUR,11625947,2026-01-19,Early Stage Venture,Sinpex offers an AI-driven platform for automating KYC and KYB compliance checks.,https://www.sinpex.de,3,"Analytics, Artificial Intelligence (AI), Compliance, Data Collection and Labeling, Document Management, Finance, Information Technology, Software","Munich, Bayern, Germany, Europe",BlackFin Capital Partners,No,unclear,,Vertical Data Moats; Guardrail-as-LLM; Continuous-learning Flywheels,vertical,RegTech (KYC/KYB automation for financial institutions),b2b,high,medium,0.2,,
Seed Round - 1Buy.AI,https://www.crunchbase.com/funding_round/1buy-ai-seed--69219de8,Seed,325000000,INR,3534664,2026-01-29,Seed,"1Buy.AI makes global electronics procurement intelligent, transparent, and optimized for everyone.",https://1buy.ai/,1,"Artificial Intelligence (AI), Procurement","New Delhi, Delhi, India, Asia",100Unicorns,No,unclear,,Vertical Data Moats; RAG (Retrieval-Augmented Generation),vertical,electronics supply chain and procurement optimization,b2b,medium,medium,0.2,,
Seed Round - GoCanopy,https://www.crunchbase.com/funding_round/gocanopy-seed--fe84dc74,Seed,2100000,EUR,2493025,2026-01-27,Seed,GoCanopy uses AI to transform real estate investing with data-driven insights.,https://gocanopy.tech,1,"Artificial Intelligence (AI), Data Management, Real Estate Investment","Paris, Ile-de-France, France, Europe",Isai,Yes,core,LLMs,Agentic Architectures; Vertical Data Moats; Continuous-learning Flywheels; RAG (Retrieval-Augmented Generation); Knowledge Graphs,vertical,institutional real estate investment intelligence,b2b,high,high,0.95,,
Seed Round - MilkStraw AI,https://www.crunchbase.com/funding_round/milkstraw-ai-seed--306c3dff,Seed,2000000,USD,2000000,2026-01-06,Seed,An AI-powered AWS optimization platform for high-growth companies,https://www.milkstraw.ai/,2,"Artificial Intelligence (AI), Cloud Computing, Cloud Infrastructure","San Francisco, California, United States, North America",VentureSouq,No,none,,Vertical Data Moats; Agentic Architectures,horizontal,cloud cost optimization for B2B SaaS and high-growth companies,b2b,high,medium,0.9,,
Seed Round - Aivar Innovations,https://www.crunchbase.com/funding_round/aivar-innovations-seed--4c6585f2,Seed,4600000,USD,4600000,2026-01-08,Seed,Aivar Innovations is an AI-focused technology services company specializing in end-to-end AI solutions for startups and enterprises.,https://aivar.tech,1,"Analytics, Artificial Intelligence (AI), Cloud Infrastructure, Consulting, DevOps, Generative AI, Information Services, Information Technology, Machine Learning","Coimbatore, Tamil Nadu, India, Asia",Sorin Investments,Yes,core,,Agentic Architectures; Vertical Data Moats; Micro-model Meshes; Continuous-learning Flywheels; RAG (Retrieval-Augmented Generation),horizontal,AI-powered enterprise automation and cloud transformation,b2b,high,high,0.95,,
Venture Round - Presto,https://www.crunchbase.com/funding_round/presto-series-unknown--c993ecae,Venture - Series Unknown,10000000,USD,10000000,2026-01-06,,Presto is a software company that provides AI and automation solutions to the restaurant industry.,https://presto.com,13,"Artificial Intelligence (AI), Enterprise Software, Food and Beverage, Restaurants, SaaS, Software","Redwood City, California, United States, North America",Metropolitan Partners,Yes,core,ElevenLabs,Micro-model Meshes; Vertical Data Moats; Continuous-learning Flywheels; Agentic Architectures,vertical,restaurant automation (QSR/foodservice AI SaaS),b2b,high,medium,0.9,,
Series A - Spangle,https://www.crunchbase.com/funding_round/spangle-1d9d-series-a--637db193,Series A,15000000,USD,15000000,2026-01-08,Early Stage Venture,Building the AI-Native Commerce Platform,https://www.spangle.ai/,2,"Artificial Intelligence (AI), Digital Marketing, E-Commerce, Retail","Bellevue, Washington, United States, North America",NewRoad Capital Partners,Yes,core,ProductGPT; large product model,Agentic Architectures; Continuous-learning Flywheels; Vertical Data Moats; Guardrail-as-LLM; Micro-model Meshes,horizontal,AI-powered retail commerce infrastructure,b2b,high,high,0.95,,
Series B - Articul8,https://www.crunchbase.com/funding_round/articul8-30ee-series-b--4907bd39,Series B,35000000,USD,35000000,2026-01-07,Early Stage Venture,"Articul8 AI is an enterprise-generative AI platform that helps organizations build, deploy, and manage AI applications.",https://www.articul8.ai,3,"Artificial Intelligence (AI), Enterprise Software, Generative AI, Software","Palo Alto, California, United States, North America",Adara Ventures,Yes,core,,Micro-model Meshes; Agentic Architectures; Vertical Data Moats,horizontal,enterprise generative AI platforms,b2b,medium,high,0.95,,
Series B - Orbem,https://www.crunchbase.com/funding_round/orbem-ff8b-series-b--8332c82b,Series B,55500000,EUR,64649976,2026-01-20,Early Stage Venture,Orbem provides AI-powered imaging and analytics solutions to deliver non-invasive biological insights.,https://orbem.ai,6,"Artificial Intelligence (AI), Biotechnology, Information Technology, Sensor","Munich, Bayern, Germany, Europe",Innovation Industries,No,none,,Vertical Data Moats; Micro-model Meshes; Continuous-learning Flywheels; Agentic Architectures,horizontal,agri-food technology (AI-powered non-invasive quality and process control),b2b,high,high,0.8,,
Seed Round - Mindverse,https://www.crunchbase.com/funding_round/mindverse-0ce1-seed--e041828c,Seed,20000000,USD,20000000,2026-01-27,Seed,Mindverse is a cutting-edge AI technology company that builds digital consciousness with autonomous consciousness.,https://mindverse.ai,2,"Artificial Intelligence (AI), Machine Learning, Software","Singapore, Central Region, Singapore, Asia",Ant Group,Yes,core,LLMs; OpenAI GPT; RAG; AI-Native Memory; Hierarchical Memory Modeling (HMM); Me-Alignment Algorithm,Agentic Architectures; RAG (Retrieval-Augmented Generation); Knowledge Graphs; Continuous-learning Flywheels; Micro-model Meshes,horizontal,AI frameworks and infrastructure for personal AI/agent development,b2c,high,high,1.0,,
Series A - Prudentia Sciences,https://www.crunchbase.com/funding_round/prudentia-sciences-series-a--ceaefa59,Series A,20000000,USD,20000000,2026-01-07,Early Stage Venture,Prudentia Sciences is a platform enables AI-powered Asset Diligence and Valuation to De-Risk Investment in Drug Development.,https://www.prudentiasciences.com/,2,"Artificial Intelligence (AI), Information Technology, Life Science","Cambridge, Massachusetts, United States, North America",McKesson Ventures,Yes,core,,Vertical Data Moats; RAG (Retrieval-Augmented Generation); Expert-in-the-Loop (Human-in-the-Loop); Traceable AI / Guardrail-as-LLM; Micro-model Meshes,vertical,drug development decision support / AI-powered asset diligence,b2b,high,high,0.9,,
Pre Seed Round - Dentio,https://www.crunchbase.com/funding_round/dentio-pre-seed--756ca54a,Pre-Seed,2300000,USD,2300000,2026-01-27,Seed,Dentio is an AI-powered administrative assistant created especially for dentists.,https://dentio.ai,1,"Artificial Intelligence (AI), Dental, Software","Stockholm, Stockholms Lan, Sweden, Europe",Andreessen Horowitz,Yes,core,,Vertical Data Moats; Natural-Language-to-Code; Guardrail-as-LLM,vertical,clinical documentation automation for dental practices,b2b,medium,medium,0.9,,
Series B - Apella Technology,https://www.crunchbase.com/funding_round/apella-technology-series-b--0bd3e46c,Series B,80000000,USD,80000000,2026-01-07,Early Stage Venture,Apella Technology is an AI startup that brings modern engineering to improve surgery.,https://apella.io,5,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical, Sensor, Software, Wellness","Oakland, California, United States, North America",HighlandX,Yes,core,,Vertical Data Moats; Micro-model Meshes; Agentic Architectures; Continuous-learning Flywheels,vertical,operating room (OR) intelligence and perioperative workflow optimization,b2b,high,high,0.9,,
Pre Seed Round - Skene,https://www.crunchbase.com/funding_round/skene-pre-seed--e1c59a24,Pre-Seed,800000,EUR,931000,2026-01-15,Seed,"Skene automates onboarding, retention, and growth, allowing vibe developers to focus on development.",https://www.skene.ai/,1,"Artificial Intelligence (AI), Customer Service, Market Research","Helsinki, Southern Finland, Finland, Europe",Superhero Capital,Yes,core,Claude; Cursor; LangChain,Natural-Language-to-Code; Agentic Architectures; RAG (Retrieval-Augmented Generation); Knowledge Graphs,horizontal,growth infrastructure automation for SaaS and PLG (Product-Led Growth) teams,b2b,high,high,0.95,,
Pre Seed Round - Sparkli,https://www.crunchbase.com/funding_round/sparkli-pre-seed--a2f9b116,Pre-Seed,5000000,USD,5000000,2026-01-22,Seed,Sparkli is an AI-driven learning platform for kids aged 5–12 that turns curiosity into multimodal educational experiences.,https://sparkli.ai,2,"Artificial Intelligence (AI), EdTech, Education, Generative AI","Pfaffikon, Zurich, Switzerland, Europe",Founderful,Yes,core,,Continuous-learning Flywheels; Vertical Data Moats; Agentic Architectures,vertical,"K-12 EdTech, AI-powered learning platforms",b2c,high,medium,0.8,,
Venture Round - Spector.ai,https://www.crunchbase.com/funding_round/spector-ai-series-unknown--f5fdd0f9,Venture - Series Unknown,580000000,INR,6450870,2026-01-08,,"Spector.ai uses AI agents to simplify plant onboarding, monitoring, and reliability management.",https://spector.ai,1,"Artificial Intelligence (AI), Automotive, Industrial Automation, Manufacturing, Renewable Energy","Bengaluru, Karnataka, India, Asia",IvyCap Ventures,No,unclear,,Vertical Data Moats,horizontal,industrial automation and reliability management,b2b,medium,low,0.2,,
Venture Round - Spot Ship,https://www.crunchbase.com/funding_round/spot-ship-series-unknown--ab2a1b4d,Venture - Series Unknown,1000000,GBP,1342404,2026-01-14,,Spot Ship is an enterprise SAAS company that reduces the time it takes a ship broker to charter a ship from 6 days to 2 hours,https://www.spot-ship.com/,3,"Logistics, Machine Learning, Software","London, England, United Kingdom, Europe",Ventures.eu,No,unclear,,Guardrail-as-LLM,vertical,logistics and shipping technology,b2b,low,low,0.1,,
Seed Round - Ruihe Electronics,https://www.crunchbase.com/funding_round/ruihe-electronics-seed--8b11ed68,Seed,100000000,CNY,14359770,2026-01-21,Seed,Ruihe Electronics provides high-end sensor devices for the Industrial Internet of Things.,http://www.ruihedianzi.com/,1,"Artificial Intelligence (AI), Internet of Things, Sensor","Hefei, Anhui, China, Asia",Xinli Capital,No,none,,Vertical Data Moats,horizontal,Industrial IoT sensors and predictive maintenance,b2b,high,medium,0.95,,
Seed Round - RARA Factory,https://www.crunchbase.com/funding_round/rara-factory-seed--fc30eb60,Seed,3200000,EUR,3724867,2026-01-14,Seed,RARA Factory is a company that provides research and development of sustainable materials utilizing physics-based artificial intelligence.,https://rarafactory.com/,2,"Artificial Intelligence (AI), CleanTech, Sustainability","Venezia, Veneto, Italy, Europe",,Yes,core,,Vertical Data Moats; Micro-model Meshes; Continuous-learning Flywheels,horizontal,sustainable materials R&D,b2b,high,high,0.8,,
Seed Round - OTTO SPORT AI,https://www.crunchbase.com/funding_round/otto-sport-ai-seed--40e4399c,Seed,16500000,USD,16500000,2026-01-15,Seed,OTTO SPORT AI is an AI-driven intelligent operating system developed for youth sports groups.,https://www.ottosport.ai,1,"Artificial Intelligence (AI), Sports","Minneapolis, Minnesota, United States, North America","Mamba Growth, Rally Ventures",Yes,enhancement,,Vertical Data Moats; Agentic Architectures; Micro-model Meshes,vertical,sports management SaaS,b2b,medium,medium,0.7,,
Series B - Sixfold AI,https://www.crunchbase.com/funding_round/sixfold-ai-series-b--f07739d0,Series B,30000000,USD,30000000,2026-01-29,Early Stage Venture,Sixfold AI is an insurtech company that uses AI to automate underwriting processes and support more informed risk evaluation.,https://www.sixfold.ai,4,"Artificial Intelligence (AI), Generative AI, InsurTech, Productivity Tools","New York, New York, United States, North America",Brewer Lane Ventures,Yes,core,,Agentic Architectures; Vertical Data Moats; Continuous-learning Flywheels; Micro-model Meshes; RAG (Retrieval-Augmented Generation); Guardrail-as-LLM,vertical,insurance underwriting automation (InsurTech),b2b,high,high,0.85,,
Seed Round - Parambil,https://www.crunchbase.com/funding_round/parambil-seed--6e53b5c5,Seed,6000000,USD,6000000,2026-01-13,Seed,Parambil is an AI-powered legal technology company that specializes in medical record review and litigation support.,https://www.parambil.com,2,"Artificial Intelligence (AI), Consulting, Legal Tech","Nyack, New York, United States, North America",Bling Capital,Yes,core,,Vertical Data Moats; RAG (Retrieval-Augmented Generation); Guardrail-as-LLM; Micro-model Meshes,vertical,AI-powered medical record review for litigation support,b2b,high,high,0.9,,
Pre Seed Round - Stilla AI,https://www.crunchbase.com/funding_round/stilla-ai-pre-seed--a74d6c33,Pre-Seed,5000000,USD,5000000,2026-01-20,Seed,"Stilla is an AI agent that quietly keeps track of everything — what was said, what needs doing, and what’s already in motion.",https://stilla.ai/,1,"Artificial Intelligence (AI), Productivity Tools","Stockholm, Stockholms Lan, Sweden, Europe",General Catalyst,Yes,core,,Agentic Architectures; Knowledge Graphs; Vertical Data Moats; Agentic Architectures,horizontal,AI-powered productivity and collaboration tools,b2b,high,high,0.9,,
Series A - Linker Vision,https://www.crunchbase.com/funding_round/linker-vision-series-a--662959e1,Series A,35000000,USD,35000000,2026-01-05,Early Stage Venture,"Linker Vision is an IT company that expertise in AI, machine learning and offers distributed training, and wokrplace safety.",https://linkervision.com,2,"Artificial Intelligence (AI), Machine Learning, Software","Taipei, T'ai-pei, Taiwan, Asia",ABICO Group,Yes,core,NVIDIA Cosmos Reason VLM; NVIDIA TAO; NVIDIA Omniverse; NVIDIA Blueprint for Video Search and Summarization (VSS),Micro-model Meshes; Continuous-learning Flywheels; Agentic Architectures; Vertical Data Moats; RAG (Retrieval-Augmented Generation),horizontal,Smart City & Industrial Safety AI,b2b,high,high,0.9,,
Pre Seed Round - Karavel.ai,https://www.crunchbase.com/funding_round/karavel-ai-pre-seed--7bfe47ba,Pre-Seed,1250000,GBP,1682376,2026-01-13,Seed,"Karavel is an AI platform that manages regulatory control, marketing evaluations, and procedures in finance, technology and healthcare.",https://karavel.ai,1,"Artificial Intelligence (AI), Information Technology","London, England, United Kingdom, Europe",Fuel Ventures,Yes,core,,Guardrail-as-LLM; Agentic Architectures; Vertical Data Moats,horizontal,regulatory compliance automation for financial institutions,b2b,high,medium,0.95,,
Pre Seed Round - WholeSum,https://www.crunchbase.com/funding_round/wholesum-de82-pre-seed--6783dd15,Pre-Seed,730000,GBP,980823,2026-01-05,Seed,Wholesum makes it possible for businesses to gather the data they truly require and create analysis that can handle actual human responses.,https://www.wholesum.tech,2,"Artificial Intelligence (AI), Data Management, Machine Learning","Mildenhall, Suffolk, United Kingdom, Europe",Twin Path Ventures,Yes,core,large language models; GPT-5; Gemini 2.5 Pro,Micro-model Meshes; Vertical Data Moats; Guardrail-as-LLM; RAG (Retrieval-Augmented Generation),horizontal,AI-powered qualitative data analysis for research and insights teams,b2b,high,high,0.95,,
Venture Round - Dragonfly AI,https://www.crunchbase.com/funding_round/dragonfly-ai-series-unknown--604b4539,Venture - Series Unknown,5000000,GBP,6884217,2026-01-28,,Dragonfly AI is a predictive visual analytics platform that simulates how attention works in the brain to show what the audience sees first.,http://www.dragonflyai.co,4,"Analytics, Artificial Intelligence (AI), Machine Learning","London, England, United Kingdom, Europe",24 Haymarket,No,none,,Continuous-learning Flywheels; Vertical Data Moats; Micro-model Meshes,horizontal,MarTech - Creative Testing & Visual Analytics,b2b,high,high,0.9,,
Seed Round - Unusual AI,https://www.crunchbase.com/funding_round/unusual-ai-seed--4dd5d19f,Seed,3600000,USD,3600000,2026-01-02,Seed,Unusual AI is an IT and Internet firm offering AI that personalise website according to visitors for more conversions.,https://www.unusual.ai/,2,"Artificial Intelligence (AI), Information Technology, Internet","San Francisco, California, United States, North America",BoxGroup,Yes,core,ChatGPT; Copilot; LLMs,Continuous-learning Flywheels; Vertical Data Moats; RAG (Retrieval-Augmented Generation),horizontal,AI-powered brand management and MarTech,b2b,high,medium,0.95,,
Seed Round - Musical AI,https://www.crunchbase.com/funding_round/musical-ai-seed--387c5cbe,Seed,4500000,USD,4500000,2026-01-13,Seed,"Musical AI is a technology company focused on secure music licensing, rights management, and attribution for AI applications.",https://wearemusicalai.com/,2,"Artificial Intelligence (AI), Information Technology, Music","Los Angeles, California, United States, North America",Heavybit,Yes,core,,Vertical Data Moats; Guardrail-as-LLM,vertical,music rights management and attribution infrastructure,b2b,high,medium,0.9,,
Series A - Baiyang Intelligent,https://www.crunchbase.com/funding_round/baiyang-intelligent-series-a--833bc806,Series A,300000000,CNY,42962708,2026-01-06,Early Stage Venture,"Baiyang Intelligent specializes in embodied intelligence for the defense, aerospace, and related industries.",https://www.baiyangai.com/,1,"Aerospace, Artificial Intelligence (AI), Electronics","Beijing, Beijing, China, Asia",,Yes,core,,Agentic Architectures; Micro-model Meshes; Continuous-learning Flywheels; Vertical Data Moats,vertical,defense and aerospace intelligent systems,b2b,high,high,0.8,,
Seed Round - Blockit AI,https://www.crunchbase.com/funding_round/blockit-ai-seed--e1980e1d,Seed,5000000,USD,5000000,2026-01-22,Seed,"Blockit AI delivers an AI scheduling agent that coordinates, books, and reschedules meetings across calendars and time zones.",https://blockit.tech,1,"Artificial Intelligence (AI), Business Process Automation (BPA), Collaboration, Enterprise Software, Personalization, Productivity Tools, Scheduling, Software","San Francisco, California, United States, North America",Sequoia Capital,Yes,core,Perplexity; Together AI,Continuous-learning Flywheels; Agentic Architectures; Vertical Data Moats,horizontal,AI-powered productivity and collaboration tools,b2b,medium,medium,0.8,,
Seed Round - Rainbow Weather,https://www.crunchbase.com/funding_round/rainbow-weather-seed--a08ed0a2,Seed,5500000,USD,5500000,2026-01-26,Seed,Rainbow Weather uses artificial intelligence to give accurate and rapid weather forecasts.,https://rainbow.ai/,2,"Artificial Intelligence (AI), Mobile Apps, Software","Warszawa, Mazowieckie, Poland, Europe",Yuri Gurski,No,none,,Vertical Data Moats; Micro-model Meshes; Continuous-learning Flywheels,horizontal,weather data APIs,b2b,high,high,0.95,,
Seed Round - Memsilicon,https://www.crunchbase.com/funding_round/memsilicon-seed--50520c90,Seed,100000000,CNY,14322133,2026-01-05,Seed,Memsilicon specializes in research and development solutions for RRAM storage and AI computing technologies.,,2,"Artificial Intelligence (AI), Data Storage, Information Technology","Beijing, Beijing, China, Asia","CDB Technology Venture Capital, Legend Capital, Lenovo Capital and Incubator Group (LCIG), SDIC Venture Capital",,,,,,,,,,,,
Venture Round - Taalentfy,https://www.crunchbase.com/funding_round/knowledgefy-series-unknown--79e0efab,Venture - Series Unknown,1500000,EUR,1743892,2026-01-19,,"Taalentfy is a technology and platform allow to identify, select and manage people in the new talent and employment paradigm",http://www.taalentfy.com,6,"Artificial Intelligence (AI), Human Resources, Knowledge Management, Machine Learning, Mobile Apps, Training","Málaga, Andalucia, Spain, Europe",,No,unclear,,Vertical Data Moats; Continuous-learning Flywheels,horizontal,AI-driven talent identification and management,b2b2c,medium,medium,0.3,,
Seed Round - BandoSubito,https://www.crunchbase.com/funding_round/bandosubito-seed--854ebaa8,Seed,2000000,EUR,2374310,2026-01-27,Seed,The first AI for finding and managing Grants and Tenders,https://bandosubito.it,3,"Artificial Intelligence (AI), FinTech, Software","Turin, Piemonte, Italy, Europe",,Yes,core,,Vertical Data Moats; RAG (Retrieval-Augmented Generation); Agentic Architectures; Continuous-learning Flywheels,vertical,grant management and public funding automation,b2b,high,medium,0.95,,
Series A - Cloudforce,https://www.crunchbase.com/funding_round/cloudforce-2a87-series-a--e3a4b4d4,Series A,10000000,USD,10000000,2026-01-09,Early Stage Venture,"Cloudforce designs cloud and AI solutions supporting organizations in building, migrating, and maintaining systems on the Microsoft Cloud.",https://www.gocloudforce.com,1,"Artificial Intelligence (AI), Cloud Computing, Cloud Management, Data Center, Software","National, Maryland, United States, North America",Owl Ventures,Yes,core,,Vertical Data Moats; Guardrail-as-LLM; Continuous-learning Flywheels; Agentic Architectures,horizontal,cloud transformation and AI-driven productivity for large organizations,b2b,medium,medium,0.7,,
